hsa:645954;SVILP1;supervillin pseudogene 1
hsa:56945;MRPS22,C3orf5,COXPD5,GIBT,MRP-S22,RPMS22;mitochondrial ribosomal protein S22
hsa:56000;NXF3;nuclear RNA export factor 3
hsa:1329;COX5B,COXVB;cytochrome c oxidase subunit Vb (EC:1.9.3.1)
hsa:113451;ADC,AZI2,ODC-p,ODC1L;arginine decarboxylase (EC:4.1.1.19)
hsa:51542;VPS54,HCC8,SLP-8p,VPS54L,WR,hVps54L;vacuolar protein sorting 54 homolog (S. cerevisiae)
hsa:152579;SCFD2,STXBP1L1;sec1 family domain containing 2
hsa:55303;GIMAP4,IAN-1,IAN1,IMAP4;GTPase, IMAP family member 4
hsa:57821;CCDC181,C1orf114,RP1-206D15.2;coiled-coil domain containing 181
hsa:10920;COPS8,COP9,CSN8,SGN8;COP9 signalosome subunit 8
hsa:1949;EFNB3,EFL6,EPLG8,LERK8;ephrin-B3
hsa:140683;BPIFA2,C20orf70,PSP,SPLUNC2,bA49G10.1;BPI fold containing family A, member 2
hsa:506;ATP5B,ATPMB,ATPSB;ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14)
hsa:1472;CST4;cystatin S
hsa:8192;CLPP;ClpP caseinolytic peptidase, ATP-dependent, proteolytic subunit homolog (E. coli) (EC:3.4.21.92)
hsa:51179;HAO2,GIG16,HAOX2;hydroxyacid oxidase 2 (long chain) (EC:1.1.3.15)
hsa:81502;HM13,H13,IMP1,IMPAS,IMPAS-1,MSTP086,PSENL3,PSL3,SPP,SPPL1,dJ324O17.1;histocompatibility (minor) 13
hsa:5708;PSMD2,P97,Rpn1,S2,TRAP2;proteasome (prosome, macropain) 26S subunit, non-ATPase, 2
hsa:119559;SFXN4,BCRM1;sideroflexin 4
hsa:161514;TBC1D21,MgcRabGAP;TBC1 domain family, member 21
hsa:1264;CNN1,SMCC,Sm-Calp;calponin 1, basic, smooth muscle
hsa:155465;AGR3,AG3,BCMP11,HAG3,PDIA18,hAG-3;anterior gradient 3 homolog (Xenopus laevis)
hsa:55361;PI4K2A,PI4KII,PIK42A,RP11-548K23.6;phosphatidylinositol 4-kinase type 2 alpha (EC:2.7.1.67)
hsa:90427;BMF;Bcl2 modifying factor
hsa:5577;PRKAR2B,PRKAR2,RII-BETA;protein kinase, cAMP-dependent, regulatory, type II, beta (EC:2.7.11.1)
hsa:8764;TNFRSF14,ATAR,CD270,HVEA,HVEM,LIGHTR,TR2;tumor necrosis factor receptor superfamily, member 14
hsa:150684;COMMD1,C2orf5,MURR1;copper metabolism (Murr1) domain containing 1
hsa:79676;OGFOD2;2-oxoglutarate and iron-dependent oxygenase domain containing 2
hsa:8528;DDO,DASOX,DDO-1,DDO-2;D-aspartate oxidase (EC:1.4.3.1)
hsa:9341;VAMP3,CEB;vesicle-associated membrane protein 3
hsa:23271;CAMSAP2,CAMSAP1L1;calmodulin regulated spectrin-associated protein family, member 2
hsa:51566;ARMCX3,ALEX3,dJ545K15.2;armadillo repeat containing, X-linked 3
hsa:8833;GMPS;guanine monphosphate synthetase (EC:6.3.5.2)
hsa:9527;GOSR1,GOLIM2,GOS-28,GOS28,GOS28/P28,GS28,P28;golgi SNAP receptor complex member 1
hsa:51268;PIPOX,LPIPOX;pipecolic acid oxidase (EC:1.5.3.1 1.5.3.7)
hsa:84859;LRCH3;leucine-rich repeats and calponin homology (CH) domain containing 3
hsa:54509;RHOF,ARHF,RIF;ras homolog family member F (in filopodia)
hsa:3617;IMPG1,GP147,IPM150,SPACR;interphotoreceptor matrix proteoglycan 1
hsa:357;SHROOM2,APXL,HSAPXL;shroom family member 2
hsa:10949;HNRNPA0,HNRPA0;heterogeneous nuclear ribonucleoprotein A0
hsa:168537;GIMAP7,IAN7,hIAN7;GTPase, IMAP family member 7
hsa:57721;METTL14;methyltransferase like 14
hsa:10498;CARM1,PRMT4;coactivator-associated arginine methyltransferase 1 (EC:2.1.1.125)
hsa:3726;JUNB,AP-1;jun B proto-oncogene
hsa:4329;ALDH6A1,MMSADHA,MMSDH;aldehyde dehydrogenase 6 family, member A1 (EC:1.2.1.27 1.2.1.18)
hsa:8650;NUMB,C14orf41,S171,c14_5527;numb homolog (Drosophila)
hsa:5966;REL,C-Rel;v-rel reticuloendotheliosis viral oncogene homolog (avian)
hsa:51504;TRMT112,HSPC152,HSPC170,TRM112,TRMT11-2;tRNA methyltransferase 11-2 homolog (S. cerevisiae)
hsa:129684;CNTNAP5,caspr5;contactin associated protein-like 5
hsa:6273;S100A2,CAN19,S100L;S100 calcium binding protein A2
hsa:84651;SPINK7,ECG2,ECRG2;serine peptidase inhibitor, Kazal type 7 (putative)
hsa:2248;FGF3,HBGF-3,INT2;fibroblast growth factor 3
hsa:2049;EPHB3,ETK2,HEK2,TYRO6;EPH receptor B3 (EC:2.7.10.1)
hsa:23193;GANAB,G2AN,GLUII;glucosidase, alpha;neutral AB (EC:3.2.1.84)
hsa:10887;PROKR1,GPR73,GPR73a,PKR1,ZAQ;prokineticin receptor 1
hsa:83483;PLVAP,FELS,PV-1,PV1,gp68;plasmalemma vesicle associated protein
hsa:3150;HMGN1,HMG14;high mobility group nucleosome binding domain 1
hsa:26272;FBXO4,FBX4;F-box protein 4
hsa:11000;SLC27A3,ACSVL3,FATP3,VLCS-3;solute carrier family 27 (fatty acid transporter), member 3 (EC:6.2.1.-)
hsa:115290;FBXO17,FBG4,FBX26,FBXO26,Fbx17;F-box protein 17
hsa:196294;IMMP1L,IMP1,IMP1-LIKE;IMP1 inner mitochondrial membrane peptidase-like (S. cerevisiae)
hsa:8263;F8A1,DXS522E,F8A,HAP40;coagulation factor VIII-associated 1
hsa:84618;NT5C1A,CN-I,CN-IA,CN1,CN1A;5'-nucleotidase, cytosolic IA (EC:3.1.3.5)
hsa:170572;HTR3C;5-hydroxytryptamine (serotonin) receptor 3C, ionotropic
hsa:64318;NOC3L,AD24,C10orf117,FAD24;nucleolar complex associated 3 homolog (S. cerevisiae)
hsa:5289;PIK3C3,VPS34,hVps34;phosphatidylinositol 3-kinase, catalytic subunit type 3 (EC:2.7.1.137)
hsa:1444;CSHL1,CS-5,CSHP1,CSL,hCS-L;chorionic somatomammotropin hormone-like 1
hsa:155038;GIMAP8,IAN-9,IAN6,IANT,hIAN6;GTPase, IMAP family member 8
hsa:3702;ITK,EMT,LYK,PSCTK2;IL2-inducible T-cell kinase (EC:2.7.10.2)
hsa:5731;PTGER1,EP1;prostaglandin E receptor 1 (subtype EP1), 42kDa
hsa:7127;TNFAIP2,B94,EXOC3L3;tumor necrosis factor, alpha-induced protein 2
hsa:5982;RFC2,A1,RFC40;replication factor C (activator 1) 2, 40kDa
hsa:90070;LACRT;lacritin
hsa:29922;NME7,MN23H7,nm23-H7;NME/NM23 family member 7 (EC:2.7.4.6)
hsa:57326;PBXIP1,HPIP;pre-B-cell leukemia homeobox interacting protein 1
hsa:1659;DHX8,DDX8,HRH1,PRP22,PRPF22;DEAH (Asp-Glu-Ala-His) box polypeptide 8 (EC:3.6.4.13)
hsa:11047;ADRM1,ARM1,GP110,Rpn13;adhesion regulating molecule 1
hsa:131034;CPNE4,COPN4,CPN4;copine IV
hsa:51669;TMEM66,FOAP-7,SARAF,XTP3;transmembrane protein 66
hsa:6470;SHMT1,CSHMT,SHMT;serine hydroxymethyltransferase 1 (soluble) (EC:2.1.2.1)
hsa:392636;AGMO,TMEM195;alkylglycerol monooxygenase (EC:1.14.16.5)
hsa:54935;DUSP23,DUSP25,LDP-3,MOSP,RP11-190A12.1,VHZ;dual specificity phosphatase 23 (EC:3.1.3.16 3.1.3.48)
hsa:51327;AHSP,EDRF,ERAF;alpha hemoglobin stabilizing protein
hsa:374407;DNAJB13,RSPH16A,TSARG5,TSARG6;DnaJ (Hsp40) homolog, subfamily B, member 13
hsa:55201;MAP1S,BPY2IP1,C19orf5,MAP8,VCY2IP-1,VCY2IP1;microtubule-associated protein 1S
hsa:495;ATP4A,ATP6A;ATPase, H+/K+ exchanging, alpha polypeptide (EC:3.6.3.10)
hsa:90665;TBL1Y,TBL1;transducin (beta)-like 1, Y-linked
hsa:64432;MRPS25,MRP-S25,RPMS25;mitochondrial ribosomal protein S25
hsa:60492;CCDC90B,MDS011,MDS025;coiled-coil domain containing 90B
hsa:56993;TOMM22,1C9-2,MST065,MSTP065,TOM22;translocase of outer mitochondrial membrane 22 homolog (yeast)
hsa:84254;CAMKK1,CAMKKA;calcium/calmodulin-dependent protein kinase kinase 1, alpha (EC:2.7.11.17)
hsa:54102;CLIC6,CLIC1L;chloride intracellular channel 6
hsa:11148;HHLA2,B7H7;HERV-H LTR-associating 2
hsa:399512;SLC25A35;solute carrier family 25, member 35
hsa:2004;ELK3,ERP,NET,SAP2;ELK3, ETS-domain protein (SRF accessory protein 2)
hsa:6767;ST13,AAG2,FAM10A1,FAM10A4,HIP,HOP,HSPABP,HSPABP1,P48,PRO0786,SNC6;suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
hsa:4836;NMT1,NMT;N-myristoyltransferase 1 (EC:2.3.1.97)
hsa:5092;PCBD1,DCOH,PCBD,PCD,PHS;pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (EC:4.2.1.96)
hsa:253558;LCLAT1,1AGPAT8,AGPAT8,ALCAT1,HSRG1849,LYCAT,UNQ1849;lysocardiolipin acyltransferase 1 (EC:2.3.1.51)
hsa:10477;UBE2E3,UBCH9,UbcM2;ubiquitin-conjugating enzyme E2E 3 (EC:6.3.2.19)
hsa:347736;NME9,NM23-H9,TXL-2,TXL2,TXNDC6;NME/NM23 family member 9
hsa:5031;P2RY6,P2Y6;pyrimidinergic receptor P2Y, G-protein coupled, 6
hsa:56159;TEX11,TGC1,TSGA3;testis expressed 11
hsa:2644;GCHFR,GFRP,HsT16933,P35;GTP cyclohydrolase I feedback regulator
hsa:1857;DVL3;dishevelled, dsh homolog 3 (Drosophila)
hsa:3806;KIR2DS1,CD158H,CD158a,p50.1;killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 1
hsa:23180;RFTN1,PIB10,PIG9,RAFTLIN;raftlin, lipid raft linker 1
hsa:10247;HRSP12,P14.5,PSP,UK114;heat-responsive protein 12
hsa:7982;ST7,ETS7q,FAM4A,FAM4A1,HELG,RAY1,SEN4,TSG7;suppression of tumorigenicity 7
hsa:55681;SCYL2,CVAK104;SCY1-like 2 (S. cerevisiae)
hsa:53918;PELO,PRO1770;pelota homolog (Drosophila)
hsa:5316;PKNOX1,PREP1,pkonx1c;PBX/knotted 1 homeobox 1
hsa:65981;CAPRIN2,C1QDC1,EEG-1,EEG1,RNG140;caprin family member 2
hsa:131890;GRK7,GPRK7;G protein-coupled receptor kinase 7 (EC:2.7.11.14 2.7.11.16)
hsa:11054;OGFR;opioid growth factor receptor
hsa:3171;FOXA3,FKHH3,HNF3G,TCF3G;forkhead box A3
hsa:140576;S100A16,DT1P1A7,S100F;S100 calcium binding protein A16
hsa:6847;SYCP1,CT8,HOM-TES-14,SCP1;synaptonemal complex protein 1
hsa:5552;SRGN,PPG,PRG,PRG1;serglycin
hsa:84945;ABHD13,BEM46L1,C13orf6,RP11-153I24.2,bA153I24.2;abhydrolase domain containing 13;K06889
hsa:80212;CCDC92;coiled-coil domain containing 92
hsa:10048;RANBP9,BPM-L,BPM90,RANBPM,RanBP7;RAN binding protein 9
hsa:8227;AKAP17A,721P,AKAP-17A,CCDC133,CXYorf3,DXYS155E,PRKA17A,SFRS17A,XE7,XE7Y;A kinase (PRKA) anchor protein 17A
hsa:89953;KLC4,KNSL8,bA387M24.3;kinesin light chain 4
hsa:2873;GPS1,COPS1,CSN1;G protein pathway suppressor 1
hsa:5600;MAPK11,P38B,P38BETA2,PRKM11,SAPK2,SAPK2B,p38-2,p38Beta;mitogen-activated protein kinase 11 (EC:2.7.11.24)
hsa:6296;ACSM3,SA,SAH;acyl-CoA synthetase medium-chain family member 3 (EC:6.2.1.2)
hsa:8798;DYRK4;dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 4 (EC:2.7.12.1)
hsa:1669;DEFA4,DEF4,HNP-4,HP-4,HP4;defensin, alpha 4, corticostatin
hsa:312;ANXA13,ANX13,ISA;annexin A13
hsa:6694;SPP2,SPP-24,SPP24;secreted phosphoprotein 2, 24kDa
hsa:11066;SNRNP35,HM-1,U1SNRNPBP;small nuclear ribonucleoprotein 35kDa (U11/U12)
hsa:29945;ANAPC4,APC4;anaphase promoting complex subunit 4
hsa:1351;COX8A,COX,COX8,COX8-2,COX8L,VIII,VIII-L;cytochrome c oxidase subunit VIIIA (ubiquitous) (EC:1.9.3.1)
hsa:220082;SPERT,CBY2,NURIT;spermatid associated
hsa:10694;CCT8,C21orf112,Cctq,D21S246,PRED71;chaperonin containing TCP1, subunit 8 (theta)
hsa:4101;MAGEA2,CT1.2,MAGE2,MAGEA2A;melanoma antigen family A, 2
hsa:56977;STOX2;storkhead box 2
hsa:55699;IARS2,ILERS;isoleucyl-tRNA synthetase 2, mitochondrial (EC:6.1.1.5)
hsa:132243;H1FOO,osH1;H1 histone family, member O, oocyte-specific
hsa:55363;HEMGN,EDAG,EDAG-1;hemogen
hsa:389799;C9orf171;chromosome 9 open reading frame 171
hsa:148581;UBE2U,RP4-636O23.1;ubiquitin-conjugating enzyme E2U (putative) (EC:6.3.2.19)
hsa:85453;TSPYL5;TSPY-like 5
hsa:54933;RHBDL2,RRP2;rhomboid, veinlet-like 2 (Drosophila) (EC:3.4.21.105)
hsa:64130;LIN7B,LIN-7B,MALS-2,MALS2,VELI2;lin-7 homolog B (C. elegans)
hsa:84467;FBN3;fibrillin 3
hsa:54996;MARC2,MOSC2,RP11-270A6.1;mitochondrial amidoxime reducing component 2
hsa:80306;MED28,1500003D12Rik,EG1,magicin;mediator complex subunit 28
hsa:868;CBLB,Cbl-b,RNF56;Cbl proto-oncogene, E3 ubiquitin protein ligase B
hsa:60484;HAPLN2,BRAL1;hyaluronan and proteoglycan link protein 2
hsa:11234;HPS5,AIBP63;Hermansky-Pudlak syndrome 5
hsa:3337;DNAJB1,HSPF1,Hdj1,Hsp40,RSPH16B,Sis1;DnaJ (Hsp40) homolog, subfamily B, member 1
hsa:9879;DDX46,PRPF5,Prp5;DEAD (Asp-Glu-Ala-Asp) box polypeptide 46 (EC:3.6.4.13)
hsa:23532;PRAME,CT130,MAPE,OIP-4,OIP4;preferentially expressed antigen in melanoma
hsa:6450;SH3BGR,21-GARP;SH3 domain binding glutamic acid-rich protein
hsa:132954;PDCL2,GCPHLP;phosducin-like 2
hsa:57099;AVEN,PDCD12;apoptosis, caspase activation inhibitor
hsa:1670;DEFA5,DEF5,HD-5;defensin, alpha 5, Paneth cell-specific
hsa:51729;WBP11,NPWBP,SIPP1,WBP-11;WW domain binding protein 11
hsa:3748;KCNC3,KSHIIID,KV3.3,SCA13;potassium voltage-gated channel, Shaw-related subfamily, member 3
hsa:826;CAPNS1,30K,CALPAIN4,CANP,CANPS,CAPN4,CDPS,CSS1;calpain, small subunit 1 (EC:3.4.22.17)
hsa:4191;MDH2,M-MDH,MDH,MGC:3559,MOR1;malate dehydrogenase 2, NAD (mitochondrial) (EC:1.1.1.37)
hsa:11144;DMC1,DMC1H,HsLim15,LIM15,dJ199H16.1;DMC1 dosage suppressor of mck1 homolog, meiosis-specific homologous recombination (yeast)
hsa:23369;PUM2,PUMH2,PUML2;pumilio homolog 2 (Drosophila)
hsa:54955;C1orf109;chromosome 1 open reading frame 109
hsa:10061;ABCF2,ABC28,EST133090,HUSSY18,M-ABC1;ATP-binding cassette, sub-family F (GCN20), member 2
hsa:56893;UBQLN4,A1U,A1Up,C1orf6,CIP75,UBIN;ubiquilin 4
hsa:8808;IL1RL2,IL-1Rrp2,IL-36R,IL1R-rp2,IL1RRP2;interleukin 1 receptor-like 2
hsa:3581;IL9R,CD129,IL-9R;interleukin 9 receptor
hsa:57497;LRFN2,FIGLER2,KIAA1246,RP11-535K1.2,SALM1;leucine rich repeat and fibronectin type III domain containing 2
hsa:154807;VKORC1L1;vitamin K epoxide reductase complex, subunit 1-like 1
hsa:54665;RSBN1,ROSBIN,RP11-324J2.1;round spermatid basic protein 1
hsa:31;ACACA,ACAC,ACACAD,ACC,ACC1,ACCA;acetyl-CoA carboxylase alpha (EC:6.4.1.2 6.3.4.14)
hsa:151887;CCDC80,DRO1,SSG1,URB,okuribin;coiled-coil domain containing 80
hsa:50649;ARHGEF4,ASEF,ASEF1,GEF4,STM6;Rho guanine nucleotide exchange factor (GEF) 4
hsa:54958;TMEM160;transmembrane protein 160
hsa:60385;TSKS,STK22S1,TSKS1,TSSKS;testis-specific serine kinase substrate
hsa:10577;NPC2,EDDM1,HE1;Niemann-Pick disease, type C2
hsa:55335;NIPSNAP3B,NIPSNAP3;nipsnap homolog 3B (C. elegans)
hsa:3787;KCNS1,KV9.1;potassium voltage-gated channel, delayed-rectifier, subfamily S, member 1
hsa:2251;FGF6,HBGF-6,HST2;fibroblast growth factor 6
hsa:10437;IFI30,GILT,IFI-30,IP30;interferon, gamma-inducible protein 30
hsa:131177;FAM3D,EF7,OIT1;family with sequence similarity 3, member D
hsa:84988;PPP1R16A,MYPT3;protein phosphatase 1, regulatory subunit 16A
hsa:56891;LGALS14,CLC2,PPL13;lectin, galactoside-binding, soluble, 14
hsa:57102;C12orf4;chromosome 12 open reading frame 4
hsa:3765;KCNJ9,GIRK3,KIR3.3;potassium inwardly-rectifying channel, subfamily J, member 9
hsa:10223;GPA33,A33;glycoprotein A33 (transmembrane)
hsa:3191;HNRNPL,HNRPL,hnRNP-L;heterogeneous nuclear ribonucleoprotein L
hsa:54550;NECAB2,EFCBP2;N-terminal EF-hand calcium binding protein 2
hsa:4832;NME3,DR-nm23,NDPK-C,NDPKC,NM23-H3,NM23H3,c371H6.2;NME/NM23 nucleoside diphosphate kinase 3 (EC:2.7.4.6)
hsa:55096;EBLN2,EBLN-2;endogenous Bornavirus-like nucleoprotein 2
hsa:92291;CAPN13;calpain 13
hsa:7414;VCL,CMD1W,CMH15,MVCL;vinculin
hsa:29796;UQCR10,HSPC051,HSPC151,QCR9,UCCR7.2,UCRC;ubiquinol-cytochrome c reductase, complex III subunit X
hsa:150350;ENTHD1,CACNA1I,dJ370M22.3;ENTH domain containing 1
hsa:54617;INO80,INO80A,INOC1,hINO80;INO80 homolog (S. cerevisiae) (EC:3.6.4.12)
hsa:55720;TSR1;TSR1, 20S rRNA accumulation, homolog (S. cerevisiae)
hsa:55599;RNPC3,RBM40,RNP;RNA-binding region (RNP1, RRM) containing 3
hsa:158067;AK8,C9orf98,DDX31,RP11-143F18.1;adenylate kinase 8 (EC:2.7.4.3)
hsa:6036;RNASE2,EDN,RNS2;ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin) (EC:3.1.27.5)
hsa:5589;PRKCSH,AGE-R2,G19P1,PCLD,PKCSH,PLD1;protein kinase C substrate 80K-H (EC:2.7.11.1)
hsa:145407;C14orf37,c14_5376;chromosome 14 open reading frame 37
hsa:64708;COPS7B,CSN7B;COP9 signalosome subunit 7B
hsa:83891;SNX25,SBBI31;sorting nexin 25
hsa:222663;SCUBE3,CEGF3;signal peptide, CUB domain, EGF-like 3
hsa:22889;BLOM7,RP11-336K24.1;KIAA0907
hsa:54738;FEV,HSRNAFEV,PET-1;FEV (ETS oncogene family)
hsa:84284;NTPCR,C1orf57,HCR-NTPase,RP4-678E16.2;nucleoside-triphosphatase, cancer-related (EC:3.6.1.15)
hsa:10096;ACTR3,ARP3;ARP3 actin-related protein 3 homolog (yeast)
hsa:9500;MAGED1,DLXIN-1,NRAGE;melanoma antigen family D, 1
hsa:56145;PCDHA3,PCDH-ALPHA3;protocadherin alpha 3
hsa:10361;NPM2;nucleophosmin/nucleoplasmin 2
hsa:5546;PRCC,RCCP1,TPRC;papillary renal cell carcinoma (translocation-associated)
hsa:387758;FIBIN;fin bud initiation factor homolog (zebrafish)
hsa:7984;ARHGEF5,GEF5,P60,TIM,TIM1;Rho guanine nucleotide exchange factor (GEF) 5
hsa:26872;STEAP1,PRSS24,STEAP;six transmembrane epithelial antigen of the prostate 1
hsa:56146;PCDHA2,PCDH-ALPHA2;protocadherin alpha 2
hsa:64746;ACBD3,GCP60,GOCAP1,GOLPH1,PAP7;acyl-CoA binding domain containing 3
hsa:84286;TMEM175;transmembrane protein 175
hsa:6782;HSPA13,STCH;heat shock protein 70kDa family, member 13
hsa:4698;NDUFA5,B13,CI-13KD-B,CI-13kB,NUFM,UQOR13;NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5, 13kDa (EC:1.6.5.3 1.6.99.3)
hsa:29083;GTPBP8,HSPC135;GTP-binding protein 8 (putative)
hsa:23101;MCF2L2,ARHGEF22;MCF.2 cell line derived transforming sequence-like 2
hsa:112858;TP53RK,BUD32,C20orf64,Nori-2,Nori-2p,PRPK,dJ101A2;TP53 regulating kinase (EC:2.7.11.1)
hsa:57823;SLAMF7,19A,CD319,CRACC,CS1;SLAM family member 7
hsa:283237;TTC9C;tetratricopeptide repeat domain 9C
hsa:55746;NUP133,hNUP133;nucleoporin 133kDa
hsa:63935;PCIF1,C20orf67;PDX1 C-terminal inhibiting factor 1
hsa:10907;TXNL4A,DIB1,DIM1,HsT161,TXNL4,U5-15kD;thioredoxin-like 4A
hsa:5723;PSPH,PSP,PSPHD;phosphoserine phosphatase (EC:3.1.3.3)
hsa:64840;PORCN,DHOF,FODH,MG61,PORC,PPN,por;porcupine homolog (Drosophila)
hsa:1666;DECR1,DECR,NADPH,SDR18C1;2,4-dienoyl CoA reductase 1, mitochondrial (EC:1.3.1.34)
hsa:57515;SERINC1,TDE1L,TDE2,TMS-2,TMS2;serine incorporator 1
hsa:199974;CYP4Z1,CYP4A20;cytochrome P450, family 4, subfamily Z, polypeptide 1 (EC:1.14.14.1)
hsa:6320;CLEC11A,CLECSF3,LSLCL,P47,SCGF;C-type lectin domain family 11, member A
hsa:54851;ANKRD49,FGIF,GBIF;ankyrin repeat domain 49
hsa:348093;RBPMS2;RNA binding protein with multiple splicing 2
hsa:1501;CTNND2,GT24,NPRAP;catenin (cadherin-associated protein), delta 2
hsa:22845;DOLK,CDG1M,DK,DK1,SEC59,TMEM15;dolichol kinase (EC:2.7.1.108)
hsa:388403;YPEL2;yippee-like 2 (Drosophila)
hsa:90187;EMILIN3,C20orf130,EMILIN5,dJ620E11.4;elastin microfibril interfacer 3
hsa:51141;INSIG2;insulin induced gene 2
hsa:56255;TMX4,DJ971N18.2,PDIA14,TXNDC13;thioredoxin-related transmembrane protein 4
hsa:3070;HELLS,LSH,PASG,SMARCA6;helicase, lymphoid-specific
hsa:83854;ANGPTL6,AGF,ARP5;angiopoietin-like 6
hsa:9380;GRHPR,GLXR,GLYD,PH2;glyoxylate reductase/hydroxypyruvate reductase (EC:1.1.1.79 1.1.1.81)
hsa:9785;DHX38,DDX38,PRP16,PRPF16;DEAH (Asp-Glu-Ala-His) box polypeptide 38 (EC:3.6.4.13)
hsa:23212;RRS1;RRS1 ribosome biogenesis regulator homolog (S. cerevisiae)
hsa:55207;ARL8B,ARL10C,Gie1;ADP-ribosylation factor-like 8B
hsa:3957;LGALS2,HL14;lectin, galactoside-binding, soluble, 2
hsa:90324;CCDC97;coiled-coil domain containing 97
hsa:23234;DNAJC9,HDJC9,JDD1,SB73;DnaJ (Hsp40) homolog, subfamily C, member 9
hsa:81855;SFXN3,BA108L7.2,SFX3;sideroflexin 3
hsa:9587;MAD2L1BP,CMT2,RP1-261G23.6;MAD2L1 binding protein
hsa:11137;PWP1,IEF-SSP-9502;PWP1 homolog (S. cerevisiae)
hsa:126637;TCHHL1,S100A17,THHL1,basalin;trichohyalin-like 1
hsa:118788;PIK3AP1,BCAP,RP11-34E5.3;phosphoinositide-3-kinase adaptor protein 1
hsa:9514;GAL3ST1,CST;galactose-3-O-sulfotransferase 1 (EC:2.8.2.11)
hsa:23518;R3HDM1,R3HDM;R3H domain containing 1
hsa:51302;CYP39A1;cytochrome P450, family 39, subfamily A, polypeptide 1 (EC:1.14.13.99)
hsa:1346;COX7A1,COX7A,COX7AH,COX7AM;cytochrome c oxidase subunit VIIa polypeptide 1 (muscle) (EC:1.9.3.1)
hsa:84647;PLA2G12B,GXIIB,GXIIIsPLA2,PLA2G13;phospholipase A2, group XIIB (EC:3.1.1.4)
hsa:116224;FAM122A,C9orf42;family with sequence similarity 122A
hsa:10457;GPNMB,HGFIN,NMB;glycoprotein (transmembrane) nmb
hsa:23283;CSTF2T,CstF-64T;cleavage stimulation factor, 3' pre-RNA, subunit 2, 64kDa, tau variant
hsa:10928;RALBP1,RIP1,RLIP1,RLIP76;ralA binding protein 1
hsa:51411;BIN2,BRAP-1;bridging integrator 2
hsa:5700;PSMC1,P26S4,S4,p56;proteasome (prosome, macropain) 26S subunit, ATPase, 1
hsa:64240;ABCG5,STSL;ATP-binding cassette, sub-family G (WHITE), member 5
hsa:5534;PPP3R1,CALNB1,CNB,CNB1;protein phosphatase 3, regulatory subunit B, alpha (EC:3.1.3.16)
hsa:54360;CYTL1,C17,C4orf4;cytokine-like 1
hsa:51780;KDM3B,5qNCA,C5orf7,JMJD1B,NET22;lysine (K)-specific demethylase 3B
hsa:349667;RTN4RL2,NGRH1,NgR2;reticulon 4 receptor-like 2
hsa:26151;NAT9,EBSP,hNATL;N-acetyltransferase 9 (GCN5-related, putative)
hsa:5273;SERPINB10,PI-10,PI10;serpin peptidase inhibitor, clade B (ovalbumin), member 10
hsa:10376;TUBA1B,K-ALPHA-1;tubulin, alpha 1b
hsa:84993;UBL7,BMSC-UbP,TCBA1;ubiquitin-like 7 (bone marrow stromal cell-derived)
hsa:9980;DOPEY2,21orf5,C21orf5;dopey family member 2
hsa:167826;OLIG3,Bhlhb7,bHLHe20;oligodendrocyte transcription factor 3
hsa:51465;UBE2J1,HSPC153,HSPC205,HSU93243,NCUBE-1,NCUBE1,UBC6,Ubc6p;ubiquitin-conjugating enzyme E2, J1 (EC:6.3.2.19)
hsa:51309;ARMCX1,ALEX1;armadillo repeat containing, X-linked 1
hsa:1459;CSNK2A2,CK2A2,CSNK2A1;casein kinase 2, alpha prime polypeptide (EC:2.7.11.1)
hsa:140679;SLC32A1,VGAT,VIAAT;solute carrier family 32 (GABA vesicular transporter), member 1
hsa:10116;FEM1B,F1A-ALPHA,FIAA;fem-1 homolog b (C. elegans)
hsa:57018;CCNL1,ANIA6A,PRO1073,ania-6a;cyclin L1
hsa:509;ATP5C1,ATP5C,ATP5CL1;ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1 (EC:3.6.1.14)
hsa:83658;DYNLRB1,BITH,BLP,DNCL2A,DNLC2A,ROBLD1;dynein, light chain, roadblock-type 1
hsa:84306;PDCD2L;programmed cell death 2-like
hsa:57617;VPS18,PEP3;vacuolar protein sorting 18 homolog (S. cerevisiae)
hsa:10428;CFDP1,BCNT,BUCENTAUR,CENP-29,CP27,SWC5,Yeti,p97;craniofacial development protein 1
hsa:522;ATP5J,ATP5,ATP5A,ATPM,CF6,F6;ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F6 (EC:3.6.1.14)
hsa:51733;UPB1,BUP1;ureidopropionase, beta (EC:3.5.1.6)
hsa:54734;RAB39A,RAB39;RAB39A, member RAS oncogene family
hsa:51069;MRPL2,MRP-L14,RPML14;mitochondrial ribosomal protein L2
hsa:51703;ACSL5,ACS2,ACS5,FACL5;acyl-CoA synthetase long-chain family member 5 (EC:6.2.1.3)
hsa:245812;CNPY4,PRAT4B;canopy 4 homolog (zebrafish)
hsa:4762;NEUROG1,AKA,Math4C,NEUROD3,bHLHa6,ngn1;neurogenin 1
